CodigoSucursal,CodigoFuerza,CodigoModoAtencion,CodigoRuta,CodigoCliente,FechaDesde,FechaHasta
1,1,PRE,87,7205,2001/01/01,31/12/8999
1,1,PRE,107,7210,2001/01/01,31/12/8999
1,1,PRE,102,7215,2001/01/01,31/12/8999
1,1,PRE,87,7227,2001/01/01,31/12/8999
1,1,PRE,107,7243,2001/01/01,31/12/8999
1,1,PRE,88,7269,2001/01/01,31/12/8999
1,1,PRE,94,7273,2001/01/01,31/12/8999
1,1,PRE,119,7278,2001/01/01,31/12/8999
1,1,PRE,94,7280,2001/01/01,31/12/8999
1,1,PRE,95,7282,2001/01/01,31/12/8999
1,1,PRE,28,7290,2001/01/01,31/12/8999
1,1,PRE,73,7332,2001/01/01,31/12/8999
1,1,PRE,90,7362,2001/01/01,31/12/8999
1,1,PRE,113,7368,2001/01/01,31/12/8999
1,1,PRE,90,7380,2001/01/01,31/12/8999
1,1,PRE,95,7419,2001/01/01,31/12/8999
1,1,PRE,100,7421,2001/01/01,31/12/8999
1,1,PRE,110,7427,2001/01/01,31/12/8999
1,1,PRE,73,7431,2001/01/01,31/12/8999
1,1,PRE,87,7433,2001/01/01,31/12/8999
1,1,PRE,113,7435,2001/01/01,31/12/8999
1,1,PRE,73,7439,2001/01/01,31/12/8999
1,1,PRE,95,7466,2001/01/01,31/12/8999
1,1,PRE,102,7484,2001/01/01,31/12/8999
1,1,PRE,110,7494,2001/01/01,31/12/8999
1,1,PRE,100,7501,2001/01/01,31/12/8999
1,1,PRE,95,7521,2001/01/01,31/12/8999
1,1,PRE,100,7527,2001/01/01,31/12/8999
1,1,PRE,28,7562,2001/01/01,31/12/8999
1,1,PRE,94,7575,2001/01/01,31/12/8999
1,1,PRE,102,7597,2001/01/01,31/12/8999
1,1,PRE,107,7600,2001/01/01,31/12/8999
1,1,PRE,107,7608,2001/01/01,31/12/8999
1,1,PRE,73,7634,2001/01/01,31/12/8999
1,1,PRE,90,7636,2001/01/01,31/12/8999
1,1,PRE,111,7649,2001/01/01,31/12/8999
1,1,PRE,94,7665,2001/01/01,31/12/8999
1,1,PRE,95,7671,2001/01/01,31/12/8999
1,1,PRE,100,7692,2001/01/01,31/12/8999
1,1,PRE,107,7695,2001/01/01,31/12/8999
1,1,PRE,118,7761,2001/01/01,31/12/8999
1,1,PRE,110,7790,2001/01/01,31/12/8999
1,1,PRE,43,7808,2001/01/01,31/12/8999
